"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 14 01:52:45 IST 2026","Tue Jul 14 01:52:46 IST 2026","566","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.ExpiredTokenTest","com.wildmouse.xpreshon.tests.security.auth.ExpiredTokenTest","garbageTokenIsRejected","AUTH-008","API rejects a completely fabricated JWT"
"passed","Tue Jul 14 01:55:48 IST 2026","Tue Jul 14 01:55:49 IST 2026","534","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.TamperedTokenTest","com.wildmouse.xpreshon.tests.security.auth.TamperedTokenTest","tamperedSignatureIsRejected","AUTH-009","API rejects a JWT with an invalid signature"
"passed","Tue Jul 14 01:52:46 IST 2026","Tue Jul 14 01:52:47 IST 2026","565","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.HttpsEnforcementTest","com.wildmouse.xpreshon.tests.security.auth.HttpsEnforcementTest","httpRequestIsRedirectedOrRefused","AUTH-001","HTTP request to the app is redirected to HTTPS or refused"
"passed","Tue Jul 14 01:52:43 IST 2026","Tue Jul 14 01:52:45 IST 2026","2715","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.ExpiredTokenTest","com.wildmouse.xpreshon.tests.security.auth.ExpiredTokenTest","expiredTokenIsRejected","AUTH-008","API rejects a JWT whose exp claim is in the past"
"passed","Tue Jul 14 01:54:18 IST 2026","Tue Jul 14 01:55:27 IST 2026","68580","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.LogoutSessionTest","com.wildmouse.xpreshon.tests.security.auth.LogoutSessionTest","logoutEndsSession","AUTH-005","Logout via profile menu ends the session — app shows login screen, not authenticated content"
"passed","Tue Jul 14 01:52:46 IST 2026","Tue Jul 14 01:52:46 IST 2026","391","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.HttpsEnforcementTest","com.wildmouse.xpreshon.tests.security.auth.HttpsEnforcementTest","discoveryApiEnforcesHttps","AUTH-001","Discovery API enforces HTTPS"
"passed","Tue Jul 14 01:53:39 IST 2026","Tue Jul 14 01:53:52 IST 2026","12957","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.LoginErrorLeakageTest","com.wildmouse.xpreshon.tests.security.auth.LoginErrorLeakageTest","maliciousInputShowsSafeError","AUTH-011","Malicious login input produces a safe, generic error — no internal details leaked"
"passed","Tue Jul 14 01:52:48 IST 2026","Tue Jul 14 01:53:02 IST 2026","13758","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.InvalidLoginTest","com.wildmouse.xpreshon.tests.security.auth.InvalidLoginTest","invalidEmailShowsGenericError","AUTH-003","Invalid email shows generic error, does not reveal account existence"
"passed","Tue Jul 14 01:54:07 IST 2026","Tue Jul 14 01:54:16 IST 2026","9818","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.LoginProviderTest","com.wildmouse.xpreshon.tests.security.auth.LoginProviderTest","signInRedirectsToApprovedProvider","AUTH-002","Sign In button redirects to approved Entra CIAM provider, not an unknown IdP"
"passed","Tue Jul 14 01:55:29 IST 2026","Tue Jul 14 01:55:47 IST 2026","18573","Surefire suite","Surefire test","com.wildmouse.xpreshon.tests.security.auth.SecureLoginTest","com.wildmouse.xpreshon.tests.security.auth.SecureLoginTest","validLoginSucceedsSecurely","AUTH-004","Valid login establishes a session and renders the authenticated home page"
